id,session_id,user_id,start_time,end_time,total_play_time,final_coins,final_wisdom,completed_levels,achievements,time_per_level,raw_json
eaff4251-2388-cf3e-685e-d8ddb0037d08,session_mock_1_3b5798,user_mock_1,2026-07-08T10:00:00.000Z,2026-07-08T10:51:08.000Z,3068,8,85,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13]","[""ach_72_hours"",""ach_alert_spot""]","{""0"":159,""1"":224,""2"":162,""3"":175,""4"":194,""5"":252,""6"":131,""7"":283,""8"":282,""9"":224,""10"":234,""11"":211,""12"":225,""13"":313}","{""sessionId"":""session_mock_1_3b5798"",""userId"":""user_mock_1"",""completedLevels"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13],""finalCoins"":8,""finalWisdom"":85,""achievements"":[""ach_72_hours"",""ach_alert_spot""],""timePerLevel"":{""0"":159,""1"":224,""2"":162,""3"":175,""4"":194,""5"":252,""6"":131,""7"":283,""8"":282,""9"":224,""10"":234,""11"":211,""12"":225,""13"":313}}"
d6b5072a-eff4-4064-f89a-b25b7dfae30c,session_mock_2_d02e8e,user_mock_2,2026-07-08T10:30:00.000Z,2026-07-08T11:22:02.000Z,3122,6,67,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13]","[""ach_three_baskets"",""ach_finish_decent""]","{""0"":251,""1"":204,""2"":272,""3"":171,""4"":192,""5"":193,""6"":281,""7"":151,""8"":121,""9"":112,""10"":154,""11"":230,""12"":248,""13"":139}","{""sessionId"":""session_mock_2_d02e8e"",""userId"":""user_mock_2"",""completedLevels"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13],""finalCoins"":6,""finalWisdom"":67,""achievements"":[""ach_three_baskets"",""ach_finish_decent""],""timePerLevel"":{""0"":251,""1"":204,""2"":272,""3"":171,""4"":192,""5"":193,""6"":281,""7"":151,""8"":121,""9"":112,""10"":154,""11"":230,""12"":248,""13"":139}}"
5065c051-5eeb-2135-946b-837083aae806,session_mock_3_7bde69,user_mock_3,2026-07-08T11:00:00.000Z,2026-07-08T11:33:47.000Z,2027,13,88,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13]","[""ach_body_signal"",""ach_three_baskets""]","{""0"":209,""1"":160,""2"":131,""3"":251,""4"":94,""5"":142,""6"":276,""7"":146,""8"":183,""9"":168,""10"":233,""11"":286,""12"":314,""13"":170}","{""sessionId"":""session_mock_3_7bde69"",""userId"":""user_mock_3"",""completedLevels"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13],""finalCoins"":13,""finalWisdom"":88,""achievements"":[""ach_body_signal"",""ach_three_baskets""],""timePerLevel"":{""0"":209,""1"":160,""2"":131,""3"":251,""4"":94,""5"":142,""6"":276,""7"":146,""8"":183,""9"":168,""10"":233,""11"":286,""12"":314,""13"":170}}"
99d00ccd-af98-ab8c-1340-ea51bacc2d74,session_mock_4_022fa6,user_mock_4,2026-07-08T11:30:00.000Z,2026-07-08T12:12:28.000Z,2548,26,92,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13]","[""ach_finish_decent"",""ach_first_step""]","{""0"":252,""1"":225,""2"":270,""3"":237,""4"":199,""5"":169,""6"":206,""7"":260,""8"":295,""9"":108,""10"":210,""11"":150,""12"":171,""13"":262}","{""sessionId"":""session_mock_4_022fa6"",""userId"":""user_mock_4"",""completedLevels"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13],""finalCoins"":26,""finalWisdom"":92,""achievements"":[""ach_finish_decent"",""ach_first_step""],""timePerLevel"":{""0"":252,""1"":225,""2"":270,""3"":237,""4"":199,""5"":169,""6"":206,""7"":260,""8"":295,""9"":108,""10"":210,""11"":150,""12"":171,""13"":262}}"
09dfa804-00a1-c4ba-a9d3-124b49a655f8,session_mock_5_c6374e,user_mock_5,2026-07-08T12:00:00.000Z,2026-07-08T12:40:11.000Z,2411,34,63,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13]","[""ach_contract_check"",""ach_alert_spot""]","{""0"":124,""1"":182,""2"":246,""3"":255,""4"":109,""5"":135,""6"":107,""7"":176,""8"":259,""9"":219,""10"":171,""11"":301,""12"":236,""13"":269}","{""sessionId"":""session_mock_5_c6374e"",""userId"":""user_mock_5"",""completedLevels"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13],""finalCoins"":34,""finalWisdom"":63,""achievements"":[""ach_contract_check"",""ach_alert_spot""],""timePerLevel"":{""0"":124,""1"":182,""2"":246,""3"":255,""4"":109,""5"":135,""6"":107,""7"":176,""8"":259,""9"":219,""10"":171,""11"":301,""12"":236,""13"":269}}"
b2bacdf3-3545-1bdd-2b0f-460b343e37ac,session_mock_6_bf5adc,user_mock_6,2026-07-08T12:30:00.000Z,2026-07-08T13:14:39.000Z,2679,34,62,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13]","[""ach_three_baskets"",""ach_body_signal""]","{""0"":176,""1"":270,""2"":205,""3"":277,""4"":183,""5"":154,""6"":174,""7"":207,""8"":231,""9"":306,""10"":232,""11"":202,""12"":264,""13"":120}","{""sessionId"":""session_mock_6_bf5adc"",""userId"":""user_mock_6"",""completedLevels"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13],""finalCoins"":34,""finalWisdom"":62,""achievements"":[""ach_three_baskets"",""ach_body_signal""],""timePerLevel"":{""0"":176,""1"":270,""2"":205,""3"":277,""4"":183,""5"":154,""6"":174,""7"":207,""8"":231,""9"":306,""10"":232,""11"":202,""12"":264,""13"":120}}"
2781a12f-2e24-03fd-59e7-3155367d7233,session_mock_7_4293b0,user_mock_7,2026-07-08T13:00:00.000Z,2026-07-08T13:52:43.000Z,3163,13,66,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13]","[""ach_first_step"",""ach_contract_check""]","{""0"":82,""1"":87,""2"":233,""3"":238,""4"":158,""5"":220,""6"":203,""7"":257,""8"":133,""9"":129,""10"":145,""11"":151,""12"":178,""13"":256}","{""sessionId"":""session_mock_7_4293b0"",""userId"":""user_mock_7"",""completedLevels"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13],""finalCoins"":13,""finalWisdom"":66,""achievements"":[""ach_first_step"",""ach_contract_check""],""timePerLevel"":{""0"":82,""1"":87,""2"":233,""3"":238,""4"":158,""5"":220,""6"":203,""7"":257,""8"":133,""9"":129,""10"":145,""11"":151,""12"":178,""13"":256}}"
0593642c-6431-1d77-4876-b74c2418675a,session_mock_8_0347e4,user_mock_8,2026-07-08T13:30:00.000Z,2026-07-08T14:05:05.000Z,2105,16,75,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13]","[""ach_three_baskets"",""ach_body_signal""]","{""0"":97,""1"":274,""2"":280,""3"":212,""4"":156,""5"":193,""6"":121,""7"":246,""8"":242,""9"":123,""10"":306,""11"":217,""12"":193,""13"":235}","{""sessionId"":""session_mock_8_0347e4"",""userId"":""user_mock_8"",""completedLevels"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13],""finalCoins"":16,""finalWisdom"":75,""achievements"":[""ach_three_baskets"",""ach_body_signal""],""timePerLevel"":{""0"":97,""1"":274,""2"":280,""3"":212,""4"":156,""5"":193,""6"":121,""7"":246,""8"":242,""9"":123,""10"":306,""11"":217,""12"":193,""13"":235}}"
a93a2d07-6f9a-d2a8-21cd-1213faf75b6b,session_mock_9_8d9851,user_mock_9,2026-07-08T14:00:00.000Z,2026-07-08T14:40:23.000Z,2423,13,77,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13]","[""ach_first_step"",""ach_72_hours""]","{""0"":99,""1"":106,""2"":220,""3"":193,""4"":129,""5"":222,""6"":222,""7"":279,""8"":183,""9"":162,""10"":274,""11"":206,""12"":310,""13"":170}","{""sessionId"":""session_mock_9_8d9851"",""userId"":""user_mock_9"",""completedLevels"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13],""finalCoins"":13,""finalWisdom"":77,""achievements"":[""ach_first_step"",""ach_72_hours""],""timePerLevel"":{""0"":99,""1"":106,""2"":220,""3"":193,""4"":129,""5"":222,""6"":222,""7"":279,""8"":183,""9"":162,""10"":274,""11"":206,""12"":310,""13"":170}}"
70d43e19-4c8a-821f-9617-ec162a36fa64,session_mock_10_745984,user_mock_10,2026-07-08T14:30:00.000Z,2026-07-08T15:17:34.000Z,2854,30,67,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13]","[""ach_alert_spot"",""ach_body_signal""]","{""0"":134,""1"":184,""2"":244,""3"":248,""4"":120,""5"":215,""6"":124,""7"":171,""8"":193,""9"":299,""10"":129,""11"":286,""12"":229,""13"":134}","{""sessionId"":""session_mock_10_745984"",""userId"":""user_mock_10"",""completedLevels"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13],""finalCoins"":30,""finalWisdom"":67,""achievements"":[""ach_alert_spot"",""ach_body_signal""],""timePerLevel"":{""0"":134,""1"":184,""2"":244,""3"":248,""4"":120,""5"":215,""6"":124,""7"":171,""8"":193,""9"":299,""10"":129,""11"":286,""12"":229,""13"":134}}"
